trip,median,mean
0,70.89,70.74
1,56.81,57.48
2,50.28,51.25
3,128.86,128.02
4,56.82,55.51
5,60.17,59.83
6,63.41,64.86
7,58.41,58.48
8,56.91,56.17
9,55.15,55.2
10,56.9,56.02
11,56.85,57.51
12,70.31,69.95
13,114.51,116.09
14,93.87,93.5
15,87.33,85.82
16,149.48,150.3
17,87.32,86.47
18,156.25,154.77
19,90.68,92.11
20,277.36,277.58
21,90.56,90.62
22,90.5,89.39
23,87.28,87.15
24,97.33,96.35
25,121.01,120.27
26,300.3,300.98
27,90.7,92.15
28,90.62,92.19
29,87.34,86.47
30,90.59,91.67
31,149.61,149.51
32,114.3,114.97
33,116.63,117.97
34,80.62,80.95
35,84.04,84.66
36,155.93,156.22
37,93.79,93.78
38,80.51,80.99
39,139.76,139.59
40,97.15,96.43
41,134.93,134.62
42,103.62,102.72
43,123.33,123.06
44,100.39,100.41
45,97.07,96.02
46,89.97,90.63
47,86.58,87.74
48,70.22,68.88
49,173.05,173.56
50,230.07,231.15
51,90.9,90.41
52,228.35,228.92
53,120.43,120.4
54,104.04,103.14
55,104.12,102.85
56,100.73,99.78
57,144.41,145.37
58,210.01,211.43
59,197.37,197.41
60,107.32,105.95
61,146.57,147.06
62,281.0,281.4
63,136.77,136.8
64,120.69,119.19
65,162.89,162.08
66,410.74,409.25
67,93.92,92.62
68,218.58,218.61
69,209.01,208.86
70,133.58,132.52
71,97.34,98.92
72,110.73,111.09
73,106.74,106.23
74,109.82,110.73
75,96.97,98.43
76,100.16,99.75
77,359.61,360.36
78,177.15,175.87
79,109.74,108.34
80,261.39,263.05
81,401.13,401.87
82,140.36,138.92
83,187.95,187.88
84,201.88,202.92
85,142.84,144.1
86,113.91,113.86
87,140.39,140.94
88,202.19,203.25
89,277.54,278.21
90,481.18,482.08
91,123.78,122.94
92,163.25,164.04
93,128.86,128.83
94,117.13,117.77
95,392.46,391.66
96,126.72,128.25
97,156.37,155.98
98,166.27,166.55
99,152.99,152.9
100,196.02,194.58
101,361.34,362.11
102,326.78,327.55
103,149.83,148.5
104,117.16,117.24
105,172.72,174.2
106,120.4,121.78
107,123.69,122.99
108,117.14,116.43
109,97.39,98.71
110,192.35,191.17
111,120.39,119.41
112,153.17,153.59
113,87.44,87.22
114,117.14,116.1
115,120.29,119.42
116,179.26,179.32
117,86.53,86.89
118,245.23,245.15
119,152.7,152.96
120,113.52,112.67
121,126.57,127.2
122,116.64,115.49
123,178.83,179.19
124,171.17,170.79
125,110.26,109.74
126,132.74,133.78
127,79.61,79.76
128,110.1,110.45
129,120.92,119.29
130,143.8,143.85
131,146.85,145.62
132,131.07,130.02
133,140.77,140.2
134,212.76,212.83
135,137.65,137.95
136,134.05,134.58
137,219.2,219.74
138,154.2,153.51
139,144.3,145.41
140,200.14,200.1
141,154.13,153.25
-1,20450.902316666667,20449.247995833328
